ID,Treść,Autor,Data
1395693301974671362,@RoyleJoanna I am such a major #eurovison fan. Favourite ever has to be Flying the Flag from Scooch as just a sheer camp adventure.,Morven_KE,2021-05-21 10:49:48+00:00
1395680805968654338,"@kxxrlo Puno bolje je izgledala Dora, bolje kadriranje, korištenje cijelog prostora stagea, scenski nastup, šminka, frizura, kostimi. Na #eurovison su je scena i kostim doslovno pojeli.",profMiljenkoPop,2021-05-21 10:00:09+00:00
1395651863308128258,"Когда самый старший из твоих кумиров младше твоего младшего ребёнка. Штош... 😆
When the eldest of your idols is younger than your youngest child. So what! @mammeskin forever 😊
#RussiaLovesMåneskin 🇷🇺🇮🇹
#måneskin #maneskin #zittiebuoni #Eurovision #eurovison https://t.co/uwWDBFvRfS",kateplacate,2021-05-21 08:05:08+00:00
1395633814391640065,Watch the full movie #eurovison #OpenUp  https://t.co/U609fDRZsQ,iDave010,2021-05-21 06:53:25+00:00
1395632786158067716,Portugal was criticized for bringing an english song and not a portuguese Song but guess what… we are in the final so … take that motherf*ckers !#eurovison 2021#eurovision https://t.co/vg8yImsx1f,rafaelagleek,2021-05-21 06:49:20+00:00
1395630704164212741,"Может мне кто-нибудь объяснить как работает система евровидения? Ну т. е. есть ли отборочные, как работают полуфиналы, почему их несколько и тд? 👉👈
#EUROVISION #eurovison",trueIsfj,2021-05-21 06:41:04+00:00
1395622225496231938,"Ich bekomme jetzt dauernd die Erinnerungen mit den Fotos vom #ESC vor 6 Jahren in Wien reingespült.
Ich bin ganz beseelt. Es war einfach so schön. #eurovison

Auge @YouFox @faebiaen @JuliaSei ❤️❤️❤️",eskarina,2021-05-21 06:07:22+00:00
1395613058769297414,"Odgledala prvih 10 na #eurovison i sad gledam tko je prošao, sve se mislim da popijem još jednu kavu pa da bolje vidim 🧐🧐🧐🧐😂😂",mirjanahf,2021-05-21 05:30:57+00:00
1395521647541727233,"Song 9 for the UK is rather fitting as a tribute to Sir Terry (ps I also got my fiance to get my prosecco for Saturday today ) 
#eurovison",elliewatt21,2021-05-20 23:27:42+00:00
1395502906850349058,"Rzadko cieszę się z polskich porażek, ale porażka szczujni TVP to co innego. Rafał pewnie się czuje jak na tym zdjęciu, bardzo przykre... #eurovison https://t.co/NQefYojnKG",przejczowski_j,2021-05-20 22:13:14+00:00
